"","primarydi","storagehandlinghigh__unit_","storagehandlinghigh__value_","value","category"
"1","00850144008925","Degrees Celsius",35,"60","celcius/fahrenheit"
"2","00190746076589","Degrees Celsius",38,"60","celcius/fahrenheit"
"3","00851383003528","Percent (%) Relative Humidity",40,"60","humidity"
"4","00851383003214","Percent (%) Relative Humidity",40,"60","humidity"
"5","00851383003108","Percent (%) Relative Humidity",40,"60","humidity"
"6","00851383003078","Percent (%) Relative Humidity",40,"60","humidity"
"7","00851383003061","Percent (%) Relative Humidity",40,"60","humidity"
"8","00851383003054","Percent (%) Relative Humidity",40,"60","humidity"
"9","00851383003047","Percent (%) Relative Humidity",40,"60","humidity"
"10","00851383003030","Percent (%) Relative Humidity",40,"60","humidity"
"11","00851383003023","Percent (%) Relative Humidity",40,"60","humidity"
"12","00851383003016","Percent (%) Relative Humidity",40,"60","humidity"
"13","00851383003009","Percent (%) Relative Humidity",40,"60","humidity"
"14","00813909010830","Degrees Celsius",40,"60","celcius/fahrenheit"
"15","08033737712290","Degrees Celsius",50,"60","celcius/fahrenheit"
"16","00850001096232","Degrees Fahrenheit",60,"60","celcius/fahrenheit"
"17","00850001096225","Percent (%) Relative Humidity",60,"60","humidity"
"18","00850001096218","Percent (%) Relative Humidity",60,"60","humidity"
"19","00850001096201","Percent (%) Relative Humidity",60,"60","humidity"
"20","00850001096195","Percent (%) Relative Humidity",60,"60","humidity"
"21","00850001096188","Percent (%) Relative Humidity",60,"60","humidity"
"22","00850001096171","Percent (%) Relative Humidity",60,"60","humidity"
"23","00850001096089","Percent (%) Relative Humidity",60,"60","humidity"
"24","00850001096072","Percent (%) Relative Humidity",60,"60","humidity"
"25","00850001096065","Percent (%) Relative Humidity",60,"60","humidity"
"26","00850001096058","Percent (%) Relative Humidity",60,"60","humidity"
"27","00850001096041","Percent (%) Relative Humidity",60,"60","humidity"
"28","00850001096034","Percent (%) Relative Humidity",60,"60","humidity"
"29","00850001096027","Percent (%) Relative Humidity",60,"60","humidity"
"30","00850001096010","Percent (%) Relative Humidity",60,"60","humidity"
"31","00850001096003","Percent (%) Relative Humidity",60,"60","humidity"
"32","00190746076633","Percent (%) Relative Humidity",60,"60","humidity"
"33","00190746076626","Percent (%) Relative Humidity",60,"60","humidity"
